1.581251E-05,-26.72,4.8,42
4.2,11.05,15.5,65.5
4.3,-0.01,4.4,42
4.3,1.33,5.7,51
6,9.54,13.2,63.8
7.7,13.53,16.7,65.8
8.2,7.5,10.5,62.1
8.4,12.52,15.5,65.6
8.4,13.02,16,65.6
8.6,-1.46,1.4,21
9.4,10.45,13.1,63.6
10.4,12.29,14.8,64.9
10.8,3.73,6.1,52
10.9,11.1,13.5,64.1
11.1,5.2,7.6,53.5
11.1,6.03,8.4,54.7
11.2,4.68,7,53
11.2,8.08,10.4,61.3
11.2,11.06,13.4,63.8
11.4,0.38,2.6,35
11.6,8.9,11.2,63
11.6,9.69,11.9,63.5
11.7,7.35,9.6,61.3
