pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-527,b,Kepler-527 b,Transit,0,1,13.28535633,2.409E-05,-2.409E-05,0,,,,,,,,,,,,,,,,,,0.253,0.12,-0.041,0,,,,,0,1,0,1,19h23m49.90s,290.957911,+47d24m22.6s,47.406284,901,418.19,-152,0,766.63,7.88,-7.88,0,13.39,,0,Kepler-band,13.334,,0,6388,115.33,-136.67,0,1.28,0.22,-0.12,0,1.45,0.69,-0.24,0,2016-05-10,Kepler
Kepler-528,b,Kepler-528 b,Transit,0,1,19.78297415,6.532E-05,-6.532E-05,0,,,,,,,,,,,,,,,,,,0.186,0.026,-0.017,0,,,,,0,1,0,1,19h42m44.36s,295.684814,+47d44m53.1s,47.748081,711,97.95,-64.89,0,802.31,10.11,-10.11,0,13.936,,0,Kepler-band,13.903,,0,5807,96.43,-81.11,0,1.01,0.04,-0.04,0,1.06,0.15,-0.1,0,2016-05-10,Kepler
Kepler-529,b,Kepler-529 b,Transit,0,2,1.98035766,2.31E-06,-2.31E-06,0,,,,,,,,,,,,,,,,,,0.166,0.022,-0.015,0,,,,,0,1,0,1,19h03m33.21s,285.888369,+47d52m49.4s,47.880386,787,105.73,-72.84,0,1812.98,1022.45,-1022.45,0,13.763,,0,Kepler-band,13.74,,0,6087,70.08,-64.04,0,1.07,0.06,-0.06,0,1.14,0.15,-0.1,0,2016-05-10,Kepler
Kepler-529,c,Kepler-529 c,Transit,0,2,12.8345022,3.659E-05,-3.659E-05,0,,,,,,,,,,,,,,,,,,0.178,0.037,-0.019,0,,,,,0,1,0,1,19h03m33.21s,285.888369,+47d52m49.4s,47.880386,787,105.73,-72.84,0,1812.98,1022.45,-1022.45,0,13.763,,0,Kepler-band,13.74,,0,6087,70.08,-64.04,0,1.07,0.06,-0.06,0,1.14,0.15,-0.1,0,2016-05-10,Kepler
Kepler-53,b,Kepler-53 b,Transit,0,3,18.6489525,0.00016,-0.00016,0,,,,,,,,,,,,,18.41,,,1,Mass,0.258,,,0,,,,,1,1,0,1,19h21m50.83s,290.461775,+40d33m44.9s,40.562462,1420.1,67.44,-67.44,0,1420.1,67.44,-67.44,0,15.386,,0,Kepler-band,15.388,,0,5858,,,0,0.98,,,0,0.89,,,0,2014-05-14,Kepler
Kepler-53,c,Kepler-53 c,Transit,0,3,38.5583038,0.00041,-0.00041,0,,,,,,,,,,,,,15.74,,,1,Mass,0.283,,,0,,,,,1,1,0,1,19h21m50.83s,290.461775,+40d33m44.9s,40.562462,1420.1,67.44,-67.44,0,1420.1,67.44,-67.44,0,15.386,,0,Kepler-band,15.388,,0,5858,,,0,0.98,,,0,0.89,,,0,2014-05-14,Kepler
Kepler-53,d,Kepler-53 d,Transit,0,3,9.751962,7.7E-05,-7.7E-05,0,0.091,,,0,,,,,,,,,,,,,,0.189,0.094,-0.094,0,,,,,0,1,0,1,19h21m50.83s,290.461775,+40d33m44.9s,40.562462,1420.1,67.44,-67.44,0,1420.1,67.44,-67.44,0,15.386,,0,Kepler-band,15.388,,0,5858,,,0,0.98,,,0,0.89,,,0,2014-05-14,Kepler
Kepler-530,b,Kepler-530 b,Transit,0,1,39.30941904,4.834E-05,-4.834E-05,0,,,,,,,,,,,,,,,,,,0.269,0.015,-0.009,0,,,,,0,1,0,1,18h53m21.67s,283.340288,+48d32m56.6s,48.549046,464,15.04,-14.56,0,463.84,3.13,-3.13,0,13.4,,0,Kepler-band,13.395,,0,5697,56.57,-50.16,0,0.97,0.03,-0.03,0,0.89,0.03,-0.03,0,2016-05-10,Kepler
Kepler-531,b,Kepler-531 b,Transit,0,1,29.88485741,3.246E-05,-3.246E-05,0,,,,,,,,,,,,,,,,,,0.248,0.007,-0.017,0,,,,,0,1,0,1,19h06m05.95s,286.524812,+48d41m01.0s,48.683601,254,8.27,-8.92,0,254.62,0.82,-0.82,0,13.34,,0,Kepler-band,13.292,,0,4893,47.74,-49.34,0,0.78,0.03,-0.03,0,0.75,0.02,-0.02,0,2016-05-10,Kepler
Kepler-532,b,Kepler-532 b,Transit,0,1,12.92491623,1.23E-05,-1.23E-05,0,,,,,,,,,,,,,,,,,,0.229,0.019,-0.012,0,,,,,0,1,0,1,19h54m38.62s,298.660915,+48d36m22.9s,48.606373,325,9.28,-9.95,0,315.64,1.96,-1.96,0,13.524,,0,Kepler-band,13.504,,0,5192,82.8,-82.15,0,0.87,0.03,-0.03,0,0.79,0.02,-0.02,0,2016-05-10,Kepler
